time [µs]	Amp[V]	HF [V]	TGC [dB]
60,1	0,223	0,059	11,024
60,2	0,176	0,161	11,024
60,3	0,140	0,122	11,024
60,4	0,115	0,028	11,181
60,5	0,098	-0,059	11,024
60,6	0,083	-0,083	11,181
60,7	0,069	-0,051	11,181
60,8	0,058	-0,012	11,181
60,9	0,051	0,028	11,181
61,0	0,049	0,051	11,181
61,1	0,049	0,035	11,181
61,2	0,048	-0,004	11,181
61,3	0,043	-0,035	11,181
61,4	0,036	-0,035	11,024
61,5	0,028	-0,004	11,181
61,6	0,020	0,012	11,181
61,7	0,015	0,012	11,024
61,8	0,011	0,012	11,181
61,9	0,009	0,004	11,181
62,0	0,008	-0,004	11,181
62,1	0,008	-0,004	11,181
62,2	0,008	-0,004	11,181
62,3	0,009	-0,012	11,181
62,4	0,010	-0,004	11,181
62,5	0,012	0,004	11,181
62,6	0,013	0,012	11,181
62,7	0,015	0,012	11,181
62,8	0,016	0,004	11,181
62,9	0,015	-0,012	11,181
63,0	0,014	-0,012	11,181
63,1	0,013	-0,012	11,181
63,2	0,011	-0,004	11,181
63,3	0,011	0,004	11,181
63,4	0,011	0,012	11,181
63,5	0,011	0,004	11,181
63,6	0,011	-0,004	11,339
63,7	0,010	-0,012	11,181
63,8	0,008	-0,004	11,181
63,9	0,006	-0,004	11,181
64,0	0,005	0,004	11,181
64,1	0,005	0,004	11,181
64,2	0,005	0,004	11,181
64,3	0,006	0,004	11,181
64,4	0,007	-0,004	11,181
64,5	0,008	-0,004	11,339
64,6	0,008	-0,004	11,339
64,7	0,009	-0,012	11,181
64,8	0,008	-0,004	11,339
64,9	0,008	-0,004	11,339
65,0	0,007	0,004	11,339
65,1	0,005	0,004	11,339
65,2	0,005	0,004	11,339
65,3	0,005	-0,004	11,181
65,4	0,005	-0,004	11,181
65,5	0,006	0,004	11,181
65,6	0,006	-0,004	11,181
65,7	0,006	-0,004	11,339
65,8	0,005	0,004	11,339
65,9	0,005	-0,004	11,339
66,0	0,005	-0,004	11,339
66,1	0,005	-0,004	11,339
66,2	0,006	0,004	11,339
66,3	0,006	0,004	11,339
66,4	0,006	0,004	11,339
66,5	0,005	-0,004	11,339
66,6	0,004	-0,004	11,339
66,7	0,005	-0,004	11,339
66,8	0,006	-0,004	11,339
66,9	0,006	0,004	11,339
67,0	0,006	0,004	11,339
67,1	0,005	-0,004	11,339
67,2	0,005	-0,004	11,339
67,3	0,005	-0,004	11,339
67,4	0,006	-0,004	11,339
67,5	0,007	0,004	11,496
67,6	0,007	0,004	11,496
67,7	0,006	-0,004	11,339
67,8	0,005	0,004	11,339
67,9	0,004	-0,004	11,339
68,0	0,005	-0,004	11,339
68,1	0,005	0,004	11,339
68,2	0,006	-0,004	11,339
68,3	0,006	-0,004	11,339
68,4	0,005	-0,004	11,339
68,5	0,005	-0,004	11,339
68,6	0,006	-0,004	11,496
68,7	0,006	-0,004	11,496
68,8	0,006	0,004	11,496
68,9	0,005	-0,004	11,339
69,0	0,004	0,004	11,496
69,1	0,004	-0,004	11,339
69,2	0,004	-0,004	11,339
69,3	0,005	-0,004	11,339
69,4	0,006	-0,004	11,339
69,5	0,007	-0,004	11,339
69,6	0,006	0,004	11,496
69,7	0,006	0,004	11,496
69,8	0,005	0,004	11,496
69,9	0,005	-0,004	11,496
70,0	0,005	-0,004	11,496
70,1	0,005	-0,004	11,496
70,2	0,005	0,004	11,496
70,3	0,006	0,004	11,496
70,4	0,006	-0,004	11,339
70,5	0,006	-0,004	11,496
70,6	0,005	-0,004	11,496
70,7	0,006	0,004	11,339
70,8	0,006	0,004	11,496
70,9	0,007	0,004	11,496
71,0	0,007	-0,004	11,496
71,1	0,007	-0,004	11,496
71,2	0,006	0,004	11,654
71,3	0,005	-0,004	11,496
71,4	0,005	0,004	11,496
71,5	0,005	0,004	11,496
71,6	0,007	-0,004	11,496
71,7	0,008	-0,004	11,496
71,8	0,007	0,004	11,496
71,9	0,005	-0,004	11,496
72,0	0,004	0,004	11,496
72,1	0,003	-0,004	11,496
72,2	0,004	0,004	11,496
72,3	0,006	0,004	11,496
72,4	0,007	0,004	11,496
72,5	0,007	-0,004	11,654
72,6	0,005	-0,004	11,654
72,7	0,005	-0,004	11,496
72,8	0,005	-0,004	11,496
72,9	0,005	-0,004	11,654
73,0	0,006	-0,004	11,496
73,1	0,005	-0,004	11,496
73,2	0,005	0,004	11,496
73,3	0,005	-0,004	11,496
73,4	0,006	-0,004	11,496
73,5	0,007	0,004	11,496
73,6	0,007	0,004	11,654
73,7	0,006	-0,004	11,654
73,8	0,005	0,004	11,654
73,9	0,005	-0,004	11,654
74,0	0,005	-0,004	11,654
74,1	0,005	-0,004	11,654
74,2	0,006	0,004	11,654
74,3	0,005	-0,004	11,496
74,4	0,004	-0,004	11,654
74,5	0,004	-0,004	11,496
74,6	0,005	-0,004	11,496
74,7	0,006	-0,004	11,654
74,8	0,006	0,004	11,654
74,9	0,005	-0,004	11,654
75,0	0,004	-0,004	11,654
75,1	0,005	-0,004	11,654
75,2	0,009	0,004	11,654
75,3	0,015	0,012	11,654
75,4	0,019	0,012	11,654
75,5	0,021	-0,012	11,654
75,6	0,019	-0,020	11,654
75,7	0,016	-0,012	11,654
75,8	0,014	-0,004	11,654
75,9	0,012	0,004	11,654
76,0	0,011	0,012	11,654
76,1	0,009	-0,004	11,654
76,2	0,006	-0,004	11,654
76,3	0,004	-0,004	11,654
76,4	0,004	-0,004	11,654
76,5	0,006	-0,004	11,811
76,6	0,009	-0,004	11,654
76,7	0,011	-0,012	11,654
76,8	0,009	0,004	11,654
76,9	0,007	0,004	11,654
77,0	0,006	0,004	11,654
77,1	0,006	0,004	11,654
77,2	0,008	-0,004	11,654
77,3	0,010	-0,012	11,654
77,4	0,010	-0,004	11,654
77,5	0,008	-0,004	11,654
77,6	0,007	0,004	11,654
77,7	0,005	0,004	11,811
77,8	0,005	0,004	11,811
77,9	0,005	-0,004	11,654
78,0	0,005	-0,004	11,811
78,1	0,006	-0,004	11,654
78,2	0,006	-0,004	11,654
78,3	0,006	-0,004	11,654
78,4	0,005	0,004	11,811
78,5	0,005	-0,004	11,654
78,6	0,005	0,004	11,811
78,7	0,005	-0,004	11,654
78,8	0,006	-0,004	11,811
78,9	0,006	0,004	11,811
79,0	0,006	0,004	11,811
79,1	0,006	-0,004	11,811
79,2	0,005	-0,004	11,811
79,3	0,005	-0,004	11,811
79,4	0,006	-0,004	11,811
79,5	0,006	-0,004	11,811
79,6	0,006	0,004	11,811
79,7	0,006	-0,004	11,811
79,8	0,005	0,004	11,811
79,9	0,005	0,004	11,811
80,0	0,005	0,004	11,811
80,1	0,005	-0,004	11,811
80,2	0,005	-0,004	11,811
80,3	0,005	-0,004	11,811
80,4	0,005	0,004	11,811
80,5	0,006	0,004	11,811
80,6	0,006	-0,004	11,811
80,7	0,006	-0,004	11,811
80,8	0,005	-0,004	11,811
80,9	0,005	-0,004	11,811
81,0	0,005	-0,004	11,811
81,1	0,006	-0,004	11,811
81,2	0,007	-0,004	11,811
81,3	0,008	-0,004	11,811
81,4	0,007	0,004	11,811
81,5	0,005	-0,004	11,811
81,6	0,004	0,004	11,811
81,7	0,004	-0,004	11,969
81,8	0,005	-0,004	11,811
81,9	0,006	-0,004	11,969
82,0	0,006	0,004	11,969
82,1	0,005	-0,004	11,811
82,2	0,004	0,004	11,811
82,3	0,004	-0,004	11,811
82,4	0,004	-0,004	11,811
82,5	0,005	-0,004	11,969
82,6	0,006	-0,004	11,969
82,7	0,005	-0,004	11,811
82,8	0,005	0,004	11,969
82,9	0,005	-0,004	11,969
83,0	0,005	-0,004	11,969
83,1	0,006	0,004	11,969
83,2	0,006	-0,004	11,969
83,3	0,006	-0,004	11,969
83,4	0,005	-0,004	11,969
83,5	0,005	-0,004	11,811
83,6	0,006	-0,004	11,811
83,7	0,007	-0,004	11,969
